Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u/16V,CP_Elec_6.3x7.7,162.1,-55.4,90,top
C2,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,157.4,-55.4,90,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,167.2,-59.1,0,top
C4,10uF/16V,CP_Elec_4x5.3,168.5,-54.3,90,top
C5,100uF/16V,CP_Elec_6.3x7.7,150,-54.7,0,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,195.6375,-52.6,180,top
C7,10uF/16V,CP_Elec_4x5.3,194.8,-48.5,180,top
C8,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,213.3,-44,0,top
C9,10uF/16V,CP_Elec_4x5.3,186.6,-80.2,270,top
C10,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,192.5,-61.1,0,top
C11,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,190.8,-82.7625,90,top
C12,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,190.8,-86.5,270,top
C13,100nF,C_0603_1608Metric,153.6,-45.5,270,top
C14,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,175.6,-80.6,0,top
C15,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.1,-80.4,0,top
C16,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,145,-58.9,0,top
C17,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.3,-46.7,90,top
C18,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,155.6,-67.2,0,top
C19,10uF/16V,CP_Elec_4x5.3,156.7,-62.3,90,top
C20,100uF/16V,CP_Elec_6.3x7.7,200.8,-61.6,270,top
C21,100nF,C_0603_1608Metric,199.7,-47.2,270,top
C22,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,186.4,-89.4,90,top
C25,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,179.3,-34.2,0,top
C26,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,187.7,-25.5,180,top
C28,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.1,-35.1,90,top
C29,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.7,-19.5,90,top
C30,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177,-30.7,90,top
C31,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,171.7,-26.9,180,top
C32,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.0375,-23.8,0,top
C33,470nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.4,-35.9,0,top
C34,470nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.5,-40.3,180,top
C35,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.5,-31.1625,90,top
C36,470nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.6,-30.1,0,top
C37,470nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.6,-26.4,180,top
C38,10uF/16V,CP_Elec_4x5.3,160.8,-18.6,90,top
C39,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,164.2,-18.2,90,top
C40,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.1,-32.1,90,top
C41,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.1,-31,90,top
C42,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,153.3,-27.8,0,top
C43,10uF/16V,CP_Elec_4x5.3,153.1,-18.7,90,top
C44,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,157,-29.2,180,top
C45,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.9375,-27.9,0,top
C46,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,149.4,-18,90,top
C47,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.9,-22.1,180,top
C48,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,179.6,-25.5,270,top
C56,100nF,C_0603_1608Metric,150.5,-41.6,180,top
CX1,68pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,195.6,-27.3,180,top
CX2, 470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,205.7,-32.4,270,top
CX3,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,199.8,-27.3,180,top
CX4,470pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.4,-29.8625,270,top
CX5,150pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,204.1625,-27.3,180,top
D1,SS34,D_SMA,210.5,-62.1,90,top
D3,SS34,D_SMA,206.5,-62,90,top
D6,1N4148,D_SOD-123,154.9,-41.5,0,top
D7,1N4148,D_SOD-123,154.9,-38.8,180,top
J2,MIC/PTT/KEYER,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,195.3,-88.4,180,top
J5,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,218.6,-63.7,90,top
J6,HEADPHONE,Jack_3.5mm_PJ-320B-SMT_Horizontal_CORR,216.6,-89.3,180,top
L1,100uH,L_0805_2012Metric,198.8,-53.5,90,top
L2,100uH,L_0805_2012Metric,192.6,-62.9,180,top
L3,100uH,L_0805_2012Metric,144.2,-62.2,270,top
